ecut rho energy
10.0 40.0 -22.59853198
15.0 60.0 -22.59733386
20.0 80.0 -22.59989445
25.0 100.0 -22.60159412
30.0 120.0 -22.60202716
35.0 140.0 -22.60212160
40.0 160.0 -22.60219469
45.0 180.0 -22.60224795
50.0 200.0 -22.60228759
55.0 220.0 -22.60231115
60.0 240.0 -22.60231901
65.0 260.0 -22.60232384
70.0 280.0 -22.60233244
75.0 300.0 -22.60234116
80.0 320.0 -22.60234582
85.0 340.0 -22.60234758
90.0 360.0 -22.60234921
95.0 380.0 -22.60235164
100.0 400.0 -22.60235397
