ecut ecutrho energy
10.0 40.0 -22.67160487
20.0 80.0 -22.67376055
25.0 100.0 -22.67530986
30.0 120.0 -22.67570777
35.0 140.0 -22.67580105
40.0 160.0 -22.67588927
45.0 180.0 -22.67594345
50.0 200.0 -22.67598217
55.0 220.0 -22.67600714
60.0 240.0 -22.67601433
65.0 260.0 -22.67602025
70.0 280.0 -22.67602909
75.0 300.0 -22.67603812
80.0 320.0 -22.67604262
85.0 340.0 -22.67604430
90.0 360.0 -22.67604593
95.0 380.0 -22.67604822
100.0 400.0 -22.67605072
